movie_title
Apocalypse Now
Apollo 13
Babel
Life of Pi
Raging Bull
"The Godfather: Part II"
Trainspotting
12 Angry Men
Analyze This
Elf
Fargo
Hard Boiled
It's a Wonderful Life
La Haine
Mulholland Drive
Pan's Labyrinth
Rashomon
Some Like It Hot
Tangerine
The Breakfast Club
The Sound of Music
The Wind Rises
True Romance
Unforgiven
Y Tu Mama Tambien
Yojimbo
